"User ID","About Section","Skills to Teach","Skills to Learn","Skill Proficiency Level (Teach)","Skill Proficiency Level (Learn)","Average Rating (as Teacher)","Average Rating (as Learner)","Number of Reviews","Past Skill Swaps History","User Activity Score","Location","Preferred Learning Style","Preferred Teaching Style"
"U016","Avid reader and aspiring novelist. I love exploring different genres and literary techniques.","Creative Writing (Poetry), Proofreading","Video Editing (DaVinci Resolve), Podcasting","Advanced, Intermediate","Beginner, Beginner",4.7,4.7,21,"(Creative Writing, Video Editing)",92,"Edinburgh, UK","Reading, Self-paced","Feedback-oriented, Encouraging"
"U017","Software developer passionate about open source and community building.","JavaScript, React, Node.js","Cybersecurity Basics, Cloud Computing (AWS)","Expert, Advanced, Advanced","Beginner, Intermediate",4.9,4.8,33,"(JavaScript, Cybersecurity Basics),(React, Cloud Computing)",99,"Seattle, USA","Project-based, Collaborative","Problem-solving, Mentorship"
"U018","Yoga instructor and wellness coach. I believe in mindful living and holistic health.","Vinyasa Yoga, Mindfulness Meditation","Herbalism, Sustainable Cooking","Expert, Advanced","Beginner, Beginner",4.9,4.7,30,"(Vinyasa Yoga, Herbalism)",96,"Boulder, USA","Experiential, Reflective","Gentle guidance, Demonstrative"
"U019","Digital marketer specializing in e-commerce. Always looking for new growth hacking strategies.","Google Ads, Facebook Ads, SEO (Advanced)","Data Analytics (Power BI), Web Scraping","Expert, Advanced, Expert","Beginner, Intermediate",4.8,4.6,28,"(Google Ads, Data Analytics)",93,"Dublin, Ireland","Practical, Case Study","Strategic, Results-oriented"
"U020","Graphic designer with a passion for branding and visual storytelling.","Logo Design, Brand Identity, Adobe Illustrator","Motion Graphics, 3D Modeling (Blender)","Expert, Advanced, Expert","Beginner, Beginner",4.9,4.8,36,"(Logo Design, Motion Graphics)",97,"Melbourne, Australia","Visual, Creative","Critique-based, Inspirational"
"U021","Chef and culinary artist. I enjoy experimenting with flavors and teaching global cuisines.","French Cuisine, Pastry Arts, Food Plating","Mixology, Coffee Roasting","Expert, Advanced, Expert","Beginner, Beginner",4.9,4.7,42,"(French Cuisine, Mixology)",95,"Paris, France","Hands-on, Sensory","Demonstration, Experiential"
"U022","Finance professional interested in personal finance and investing.","Budgeting, Stock Market Basics, Personal Investing","Cryptocurrency, Blockchain Technology","Advanced, Intermediate, Advanced","Beginner, Intermediate",4.7,4.6,24,"(Stock Market Basics, Cryptocurrency)",89,"Zurich, Switzerland","Analytical, Practical","Structured, Explanatory"
"U023","Photographer specializing in landscape and astrophotography.","Landscape Photography, Lightroom Editing","Drone Piloting, Wildlife Photography","Expert, Advanced","Beginner, Intermediate",4.8,4.7,31,"(Landscape Photography, Drone Piloting)",94,"Queenstown, New Zealand","Visual, Outdoor","Field practice, Technical"
"U024","Environmental activist and sustainability consultant.","Recycling Education, Composting, Zero Waste Living","Permaculture Design, Renewable Energy Basics","Advanced, Intermediate, Advanced","Beginner, Beginner",4.7,4.8,26,"(Composting, Permaculture Design)",91,"Portland, USA","Inquiry-based, Community-focused","Discussion, Practical"
"U025","Musician and music producer. I love creating new sounds and collaborating with artists.","Ableton Live, Sound Design, Electronic Music Production","Vocal Coaching, Music Business","Expert, Advanced, Expert","Beginner, Intermediate",4.9,4.8,34,"(Ableton Live, Vocal Coaching)",98,"Los Angeles, USA","Auditory, Experimental","Collaborative, Hands-on"
"U026","Writer and content creator. I focus on engaging narratives and effective communication.","Blogging, Copyediting, Storytelling","Podcasting Production, Video Scripting","Advanced, Expert, Advanced","Beginner, Beginner",4.7,4.6,23,"(Blogging, Podcasting Production)",90,"Vancouver, Canada","Reflective, Research-based","Workshop, Constructive feedback"
"U027","Fitness coach specializing in strength training and injury prevention.","Weightlifting Techniques, Mobility Exercises","Sports Nutrition, Pilates","Expert, Advanced","Beginner, Intermediate",4.8,4.5,29,"(Weightlifting, Sports Nutrition)",95,"Miami, USA","Kinesthetic, Goal-oriented","Corrective, Progressive"
"U028","Teacher and educator. I enjoy making complex topics accessible and engaging.","Lesson Planning, Public Speaking (Education)","Game Development (Unity), VR/AR Basics","Expert, Advanced","Beginner, Beginner",4.9,4.7,37,"(Public Speaking, Game Development)",92,"Boston, USA","Structured, Interactive","Clear explanation, Encouraging"
"U029","Craftsman and woodworker. I find satisfaction in creating functional and beautiful objects.","Furniture Making, Wood Carving, Joinery","Metalworking, Upholstery","Expert, Advanced, Expert","Beginner, Intermediate",4.8,4.6,20,"(Furniture Making, Metalworking)",88,"Denver, USA","Hands-on, Precision","Demonstration, Patient guidance"
"U030","Travel enthusiast and cultural explorer. I love learning about new traditions and languages.","Travel Planning, Cultural Etiquette","Mandarin Chinese (Conversational), Calligraphy","Advanced, Intermediate","Beginner, Beginner",4.7,4.8,25,"(Travel Planning, Mandarin Chinese)",91,"Bangkok, Thailand","Immersive, Experiential","Conversational, Storytelling"
"U031","Web developer with a focus on backend systems and databases.","Python (Django), SQL, API Development","Frontend Frameworks (Vue.js), UI/UX Design","Expert, Advanced, Expert","Beginner, Intermediate",4.9,4.7,38,"(Python, Vue.js),(SQL, UI/UX Design)",98,"London, UK","Problem-solving, Logical","Code review, Explanatory"
"U032","Nutritionist and healthy eating advocate. I help people build sustainable dietary habits.","Meal Prepping, Balanced Diet Planning","Fermentation, Urban Gardening","Expert, Advanced","Beginner, Beginner",4.8,4.6,30,"(Meal Prepping, Fermentation)",93,"Sydney, Australia","Practical, Habit-based","Coaching, Recipe sharing"
"U033","Illustrator and concept artist. I enjoy bringing characters and worlds to life.","Character Design, Digital Painting (Procreate)","Storyboarding, Animation Principles","Expert, Advanced","Beginner, Intermediate",4.9,4.8,35,"(Character Design, Storyboarding)",97,"Tokyo, Japan","Visual, Creative","Demonstration, Portfolio review"
"U034","Financial advisor specializing in retirement planning.","Retirement Planning, Investment Strategies","Estate Planning, Tax Optimization","Expert, Advanced","Beginner, Intermediate",4.7,4.5,26,"(Retirement Planning, Estate Planning)",90,"Chicago, USA","Analytical, Long-term planning","Structured, Q&A"
"U035","Photographer focusing on street and documentary photography.","Street Photography, Photojournalism","Darkroom Techniques, Analog Photography","Advanced, Expert","Beginner, Beginner",4.8,4.7,29,"(Street Photography, Darkroom Techniques)",94,"New York, USA","Observational, Experiential","Field practice, Critique"
"U036","Environmental scientist researching climate change impacts.","Climate Change Science, Data Analysis (GIS)","Science Communication, Policy Advocacy","Expert, Advanced","Beginner, Intermediate",4.9,4.8,32,"(Climate Change Science, Science Communication)",96,"Berlin, Germany","Research-based, Critical thinking","Lecture, Discussion"
"U037","Musician and sound engineer. I love crafting immersive audio experiences.","Audio Mixing, Mastering, Pro Tools","Music Theory (Advanced), Orchestration","Expert, Advanced, Expert","Intermediate, Beginner",4.9,4.7,38,"(Audio Mixing, Music Theory)",98,"London, UK","Auditory, Technical","Hands-on, Problem-solving"
"U038","Writer and editor specializing in technical documentation.","Technical Writing, Content Strategy","UX Writing, Information Architecture","Expert, Advanced","Beginner, Intermediate",4.7,4.6,24,"(Technical Writing, UX Writing)",91,"San Francisco, USA","Structured, Detail-oriented","Review, Clear explanation"
"U039","Fitness enthusiast and personal trainer. I focus on functional fitness and injury rehabilitation.","Functional Training, Kettlebell Training","Sports Psychology, Nutrition for Athletes","Expert, Advanced","Beginner, Intermediate",4.8,4.5,30,"(Functional Training, Sports Psychology)",95,"Sydney, Australia","Kinesthetic, Performance-focused","Corrective, Motivational"
"U040","Educator and curriculum developer. I design engaging learning experiences.","Curriculum Design, E-learning Development","Instructional Design (Articulate), Gamification","Expert, Advanced","Beginner, Intermediate",4.9,4.7,36,"(Curriculum Design, Instructional Design)",92,"Toronto, Canada","Structured, Creative","Workshop, Collaborative"
"U041","Artist specializing in traditional painting and drawing.","Oil Painting, Figure Drawing, Portraiture","Digital Art (Clip Studio Paint), Calligraphy","Expert, Advanced, Expert","Beginner, Beginner",4.9,4.8,40,"(Oil Painting, Digital Art)",97,"Florence, Italy","Visual, Observational","Demonstration, Individual critique"
"U042","Marketing manager with expertise in brand building and storytelling.","Brand Strategy, Digital Storytelling","Video Production (Short Form), Podcasting","Advanced, Expert","Beginner, Beginner",4.8,4.6,28,"(Brand Strategy, Video Production)",93,"New York, USA","Conceptual, Narrative","Strategic, Collaborative"
"U043","Software engineer focused on mobile app development.","Swift (iOS), Kotlin (Android), Firebase","Backend Development (Go), Machine Learning Basics","Expert, Advanced, Expert","Beginner, Intermediate",4.9,4.8,39,"(Swift, Backend Development),(Kotlin, Machine Learning)",99,"San Francisco, USA","Problem-solving, Hands-on","Code review, Practical examples"
"U044","Wellness coach and meditation practitioner. I guide others to find inner peace.","Mindfulness Meditation, Breathwork","Aromatherapy, Sound Healing","Expert, Advanced","Beginner, Beginner",4.9,4.7,33,"(Mindfulness Meditation, Aromatherapy)",96,"Bali, Indonesia","Experiential, Calm","Guided practice, Gentle explanation"
"U045","Digital artist specializing in character illustration and animation.","Character Illustration, Procreate Animation","Motion Graphics (After Effects), Game Art","Expert, Advanced","Beginner, Intermediate",4.8,4.8,37,"(Character Illustration, Motion Graphics)",98,"Seoul, South Korea","Visual, Creative","Demonstration, Project-based"
"U046","Financial analyst with a focus on data-driven insights.","Financial Modeling, Data Analysis (Excel)","Business Intelligence (Tableau), Python for Finance","Expert, Advanced","Beginner, Intermediate",4.7,4.6,25,"(Financial Modeling, Business Intelligence)",90,"London, UK","Analytical, Logical","Structured, Case studies"
"U047","Photographer and visual storyteller. I capture moments and create compelling narratives.","Event Photography, Photo Editing (Photoshop)","Documentary Filmmaking, Drone Cinematography","Advanced, Expert","Beginner, Beginner",4.8,4.7,30,"(Event Photography, Documentary Filmmaking)",94,"Los Angeles, USA","Visual, Narrative","Practical, Feedback-driven"
"U048","Environmental advocate and community organizer.","Community Organizing, Grant Writing (Non-profit)","Urban Farming, Renewable Energy Policy","Advanced, Intermediate","Beginner, Beginner",4.7,4.8,27,"(Community Organizing, Urban Farming)",91,"Berlin, Germany","Collaborative, Action-oriented","Discussion, Practical application"
"U049","Musician and composer specializing in film scoring.","Film Scoring, Music Composition (Logic Pro)","Sound Design (Advanced), Orchestration","Expert, Advanced","Beginner, Intermediate",4.9,4.8,36,"(Film Scoring, Sound Design)",97,"Los Angeles, USA","Auditory, Creative","Project-based, Mentorship"
"U050","Writer and content strategist for tech startups.","Content Strategy, SEO Copywriting","Technical SEO, Web Analytics (Google Analytics)","Expert, Advanced","Beginner, Intermediate",4.7,4.6,29,"(Content Strategy, Technical SEO)",93,"San Francisco, USA","Strategic, Research-based","Workshop, Data-driven"
"U051","Fitness professional specializing in yoga and flexibility.","Hatha Yoga, Flexibility Training","Pilates (Reformer), Myofascial Release","Expert, Advanced","Beginner, Beginner",4.8,4.5,31,"(Hatha Yoga, Pilates)",95,"Sydney, Australia","Kinesthetic, Mind-body","Guided practice, Demonstrative"
"U052","Educator focused on early childhood development.","Early Childhood Education, Play-based Learning","Child Psychology, Special Education Basics","Expert, Advanced","Beginner, Intermediate",4.9,4.7,38,"(Early Childhood Education, Child Psychology)",92,"Melbourne, Australia","Experiential, Nurturing","Observation, Practical tips"
"U053","Craftsman specializing in leatherwork.","Leather Carving, Bag Making, Tooling","Shoe Making, Bookbinding","Expert, Advanced, Expert","Beginner, Intermediate",4.8,4.6,22,"(Leather Carving, Shoe Making)",88,"Austin, USA","Hands-on, Detail-oriented","Demonstration, Step-by-step"
"U054","Travel blogger and cultural guide. I share unique travel experiences.","Travel Photography, Travel Writing","Vlogging (Travel), Cultural Anthropology","Advanced, Expert","Beginner, Beginner",4.7,4.8,26,"(Travel Photography, Vlogging)",91,"Lisbon, Portugal","Immersive, Storytelling","Narrative, Experiential"
"U055","Web developer specializing in frontend performance optimization.","React Performance, Webpack, CSS Optimization","Backend Scalability, DevOps Basics","Expert, Advanced, Expert","Beginner, Intermediate",4.9,4.7,40,"(React Performance, Backend Scalability)",99,"Berlin, Germany","Problem-solving, Technical","Code review, Optimization strategies"
"U056","Nutritionist and plant-based chef. I advocate for healthy, sustainable eating.","Plant-Based Cooking, Vegan Nutrition","Foraging, Food Preservation","Expert, Advanced","Beginner, Beginner",4.8,4.6,32,"(Plant-Based Cooking, Foraging)",93,"Vancouver, Canada","Practical, Health-focused","Recipe sharing, Hands-on"
"U057","Illustrator and comic artist. I love creating sequential art and visual narratives.","Comic Art, Digital Inking, Storyboarding","Manga Drawing, Webtoon Creation","Expert, Advanced, Expert","Beginner, Intermediate",4.9,4.8,37,"(Comic Art, Manga Drawing)",97,"Tokyo, Japan","Visual, Narrative","Critique, Practice-based"
"U058","Financial planner specializing in retirement and investment.","Retirement Planning, Portfolio Management","Real Estate Investing, Tax Planning","Expert, Advanced","Beginner, Intermediate",4.7,4.5,28,"(Retirement Planning, Real Estate Investing)",90,"Dallas, USA","Analytical, Long-term","Structured, Personalized advice"
"U059","Photographer focusing on portrait and fashion photography.","Portrait Retouching, Fashion Photography","Studio Lighting, Commercial Photography","Advanced, Expert","Beginner, Intermediate",4.8,4.7,31,"(Portrait Retouching, Studio Lighting)",94,"Milan, Italy","Visual, Aesthetic","Practical, Posing guidance"
"U060","Environmental researcher focusing on sustainable agriculture.","Sustainable Agriculture, Soil Science","Agri-tech, Food Systems Policy","Expert, Advanced","Beginner, Intermediate",4.9,4.8,34,"(Sustainable Agriculture, Agri-tech)",96,"Amsterdam, Netherlands","Research-based, Practical","Discussion, Field observation"
"U061","Musician and multi-instrumentalist. I enjoy teaching music theory and performance.","Piano, Guitar (Beginner), Music Theory","Drums, Music Production (Logic Pro)","Expert, Intermediate, Advanced","Beginner, Intermediate",4.9,4.7,39,"(Piano, Drums),(Guitar, Music Production)",98,"New Orleans, USA","Auditory, Practice-based","One-on-one, Jamming"
"U062","Writer and content marketer specializing in B2B content.","B2B Content Strategy, Whitepaper Writing","Account-Based Marketing, Sales Enablement","Expert, Advanced","Beginner, Intermediate",4.7,4.6,25,"(B2B Content Strategy, Account-Based Marketing)",91,"Chicago, USA","Strategic, Research-driven","Workshop, Case studies"
"U063","Fitness coach specializing in cross-training and endurance.","Cross-Training, Marathon Training","Triathlon Training, Sports Recovery","Expert, Advanced","Beginner, Intermediate",4.8,4.5,32,"(Cross-Training, Triathlon Training)",95,"Boulder, USA","Kinesthetic, Endurance-focused","Coaching, Program design"
"U064","Educator and instructional designer for online courses.","Online Course Design, Moodle/Canvas LMS","Video Production for E-learning, Accessibility (Web)","Expert, Advanced","Beginner, Intermediate",4.9,4.7,37,"(Online Course Design, Video Production)",92,"Seattle, USA","Structured, Digital","Platform demonstration, Best practices"
"U065","Craftsman specializing in ceramics and pottery.","Wheel Throwing, Glazing Techniques, Hand-building","Sculpture (Clay), Kiln Firing","Expert, Advanced, Expert","Beginner, Intermediate",4.8,4.6,23,"(Wheel Throwing, Sculpture)",88,"Kyoto, Japan","Hands-on, Artistic","Demonstration, Creative guidance"
"U066","Travel photographer and videographer. I capture the essence of destinations.","Travel Videography, Drone Cinematography","Travel Blogging, Cultural Immersion","Advanced, Expert","Beginner, Beginner",4.7,4.8,27,"(Travel Videography, Travel Blogging)",91,"Rio de Janeiro, Brazil","Visual, Documentary","Field practice, Storytelling"
"U067","Web developer specializing in full-stack applications.","React, Node.js, MongoDB","AWS Lambda, Docker, Kubernetes","Expert, Advanced, Expert","Beginner, Intermediate",4.9,4.7,41,"(React, AWS Lambda),(Node.js, Docker)",99,"San Francisco, USA","Problem-solving, System design","Code review, Architecture discussion"
"U068","Nutritionist and sports dietitian. I help athletes optimize performance through diet.","Sports Nutrition, Macronutrient Tracking","Meal Prep for Athletes, Supplementation","Expert, Advanced","Beginner, Intermediate",4.8,4.6,33,"(Sports Nutrition, Meal Prep)",93,"Gold Coast, Australia","Practical, Performance-driven","Personalized plans, Coaching"
"U069","Illustrator and children's book artist. I create whimsical and engaging visuals.","Children's Book Illustration, Watercolor Painting","Digital Storytelling, Character Animation","Expert, Advanced","Beginner, Beginner",4.9,4.8,38,"(Children's Book Illustration, Digital Storytelling)",97,"London, UK","Visual, Imaginative","Demonstration, Portfolio feedback"
"U070","Financial analyst specializing in corporate finance.","Financial Statement Analysis, Valuation","Mergers & Acquisitions, Private Equity","Expert, Advanced","Beginner, Intermediate",4.7,4.5,29,"(Financial Statement Analysis, Mergers & Acquisitions)",90,"New York, USA","Analytical, Strategic","Case studies, Industry insights"
"U071","Photographer focusing on product and commercial photography.","Product Photography, E-commerce Photography","Food Photography, Studio Lighting","Advanced, Expert","Beginner, Intermediate",4.8,4.7,32,"(Product Photography, Food Photography)",94,"Los Angeles, USA","Visual, Technical","Practical, Styling guidance"
"U072","Environmental educator and conservationist.","Wildlife Conservation, Environmental Policy","Citizen Science, Sustainable Tourism","Advanced, Intermediate","Beginner, Beginner",4.7,4.8,28,"(Wildlife Conservation, Citizen Science)",91,"Cape Town, South Africa","Experiential, Community-focused","Discussion, Field trips"
"U073","Musician and producer specializing in electronic music.","Synthesizer Programming, Drum Machine Programming","Modular Synthesis, Live Performance (Ableton)","Expert, Advanced","Beginner, Intermediate",4.9,4.8,37,"(Synthesizer Programming, Modular Synthesis)",98,"Berlin, Germany","Auditory, Experimental","Hands-on, Creative jamming"
"U074","Writer and journalist specializing in investigative reporting.","Investigative Journalism, Interviewing Skills","Data Journalism, Legal Reporting","Expert, Advanced","Beginner, Intermediate",4.7,4.6,26,"(Investigative Journalism, Data Journalism)",91,"Washington D.C., USA","Research-based, Critical thinking","Mentorship, Case studies"
"U075","Fitness coach specializing in Pilates and core strength.","Mat Pilates, Core Strengthening","Reformer Pilates, Barre Fitness","Expert, Advanced","Beginner, Intermediate",4.8,4.5,30,"(Mat Pilates, Reformer Pilates)",95,"Paris, France","Kinesthetic, Alignment-focused","Guided practice, Corrective feedback"
"U076","Educator and language specialist. I teach English as a second language.","ESL Teaching, Pronunciation Coaching","German Language (Beginner), Cross-cultural Communication","Expert, Advanced","Beginner, Intermediate",4.9,4.7,39,"(ESL Teaching, German Language)",92,"Berlin, Germany","Conversational, Interactive","Patient, Repetitive practice"
"U077","Craftsman specializing in jewelry making.","Silver Smithing, Gemstone Setting, Wire Wrapping","Resin Art, Enameling","Expert, Advanced, Expert","Beginner, Intermediate",4.8,4.6,24,"(Silver Smithing, Resin Art)",88,"Mexico City, Mexico","Hands-on, Artistic","Demonstration, Creative exploration"
"U078","Travel writer and cultural commentator. I share insights into global cultures.","Cultural Commentary, Travel Essay Writing","Documentary Photography, Video Editing (Travel)","Advanced, Expert","Beginner, Beginner",4.7,4.8,29,"(Cultural Commentary, Documentary Photography)",91,"Kyoto, Japan","Reflective, Observational","Narrative, Discussion"
"U079","Web developer specializing in e-commerce platforms.","Shopify Development, WooCommerce Customization","Payment Gateway Integration, SEO for E-commerce","Expert, Advanced, Expert","Beginner, Intermediate",4.9,4.7,42,"(Shopify Development, Payment Gateway Integration)",99,"Toronto, Canada","Problem-solving, Business-oriented","Code optimization, Strategic advice"
"U080","Nutritionist and registered dietitian. I provide personalized dietary advice.","Clinical Nutrition, Weight Management","Sports Nutrition (Advanced), Gut Health","Expert, Advanced","Beginner, Intermediate",4.8,4.6,34,"(Clinical Nutrition, Sports Nutrition)",93,"San Francisco, USA","Evidence-based, Personalized","Consultation, Meal planning"
"U081","Illustrator and editorial artist. I create visuals for publications.","Editorial Illustration, Digital Painting (Photoshop)","Infographics Design, Data Visualization","Expert, Advanced","Beginner, Intermediate",4.9,4.8,39,"(Editorial Illustration, Infographics Design)",97,"New York, USA","Visual, Conceptual","Critique, Storytelling"
"U082","Financial advisor specializing in wealth management.","Wealth Management, Financial Planning (High Net Worth)","Alternative Investments, Philanthropic Giving","Expert, Advanced","Beginner, Intermediate",4.7,4.5,30,"(Wealth Management, Alternative Investments)",90,"Geneva, Switzerland","Strategic, Long-term","Personalized advice, Market analysis"
"U083","Photographer focusing on wildlife and nature photography.","Wildlife Photography, Nature Photography","Macro Photography, Underwater Photography","Advanced, Expert","Beginner, Intermediate",4.8,4.7,33,"(Wildlife Photography, Macro Photography)",94,"Yellowstone, USA","Outdoor, Patient","Field techniques, Ethical practices"
"U084","Environmental scientist and policy analyst.","Environmental Policy, Sustainability Consulting","Circular Economy, Green Technology","Expert, Advanced","Beginner, Intermediate",4.9,4.8,35,"(Environmental Policy, Circular Economy)",96,"Copenhagen, Denmark","Analytical, Policy-driven","Discussion, Case studies"
"U085","Musician and vocalist. I teach singing and vocal techniques.","Vocal Techniques, Singing (Pop/Rock)","Songwriting (Advanced), Music Production (Vocals)","Expert, Advanced","Beginner, Intermediate",4.9,4.7,40,"(Vocal Techniques, Songwriting)",98,"Los Angeles, USA","Auditory, Performance-based","One-on-one, Breath control"
"U086","Writer and screenwriter. I craft compelling stories for film and television.","Screenwriting, Dialogue Writing","Film Directing (Basics), Storyboarding","Expert, Advanced","Beginner, Beginner",4.7,4.6,27,"(Screenwriting, Film Directing)",91,"Los Angeles, USA","Narrative, Visual","Workshop, Feedback-driven"
"U087","Fitness coach specializing in martial arts and self-defense.","Karate (Beginner), Self-Defense Techniques","Judo, Brazilian Jiu-Jitsu","Advanced, Expert","Beginner, Beginner",4.8,4.5,31,"(Karate, Judo)",95,"Tokyo, Japan","Kinesthetic, Discipline","Practical, Repetitive drills"
"U088","Educator and special education teacher. I support diverse learners.","Special Education Strategies, Differentiated Instruction","Assistive Technology, Child Development (Special Needs)","Expert, Advanced","Beginner, Intermediate",4.9,4.7,40,"(Special Education, Assistive Technology)",92,"London, UK","Patient, Adaptive","Individualized, Supportive"
"U089","Craftsman specializing in woodworking and furniture restoration.","Wood Restoration, Antique Furniture Repair","Cabinet Making, Marquetry","Expert, Advanced, Expert","Beginner, Intermediate",4.8,4.6,25,"(Wood Restoration, Cabinet Making)",88,"Paris, France","Hands-on, Historical","Demonstration, Fine detail"
"U090","Travel consultant and luxury travel planner.","Luxury Travel Planning, Destination Expertise","Adventure Travel, Sustainable Tourism","Advanced, Expert","Beginner, Beginner",4.7,4.8,30,"(Luxury Travel Planning, Adventure Travel)",91,"Dubai, UAE","Personalized, Experiential","Consultation, Itinerary design"
"U091","Web developer specializing in cybersecurity for web applications.","Web Security (OWASP), Penetration Testing (Web)","Ethical Hacking, Network Security","Expert, Advanced","Beginner, Intermediate",4.9,4.7,43,"(Web Security, Ethical Hacking)",99,"Tel Aviv, Israel","Problem-solving, Defensive","Code audit, Vulnerability assessment"
"U092","Nutritionist and clinical dietitian. I help manage chronic health conditions through diet.","Diabetes Management (Diet), Cardiovascular Health (Diet)","Renal Dietetics, Sports Nutrition (Clinical)","Expert, Advanced","Beginner, Intermediate",4.8,4.6,35,"(Diabetes Management, Renal Dietetics)",93,"Toronto, Canada","Evidence-based, Patient-centered","Consultation, Dietary counseling"
